﻿Title:,"Table 11 - HE student enrolments by domicile and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2017/18"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2019
Filters:,Domicile marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"","Region of HE provider"
"Domicile","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East of England","London","South East","South West","The Open University in England","England"
"Vietnam [Viet Nam]","275","185","315","300","305","335","860","415","590","0","3,585"
"Wallis and Futuna","0","0","0","0","0","0","0","0","0","0","0"
"Western Sahara","0","5","0","0","0","0","0","0","0","0","5"
"Yemen","5","5","20","5","5","10","10","15","5","0","85"
"Zambia","15","35","40","55","45","25","50","95","30","0","390"
"Zimbabwe","20","45","50","75","75","140","125","150","80","0","750"
"European Union not otherwise specified","5","10","15","10","5","20","125","20","25","0","245"
"Europe not otherwise specified","0","0","5","0","0","0","40","0","5","0","60"
"Africa not otherwise specified","0","0","0","0","0","5","0","0","0","0","10"
"Middle East not otherwise specified","0","0","0","0","0","0","5","0","0","0","5"
"Asia (Except Middle East) not otherwise specified","0","0","0","0","0","5","55","0","0","0","60"
"North America not otherwise specified","0","0","0","0","0","0","0","0","0","0","0"
"South America not otherwise specified","0","0","0","0","0","0","0","0","0","0","0"
"Caribbean not otherwise specified","0","0","0","0","0","0","0","0","0","0","5"
"Antarctica and Oceania not otherwise specified","0","0","0","0","0","0","0","10","0","0","15"
"Not known","0","0","10","5","105","15","360","5","0","0","490"
"Total","100,345","229,480","192,080","160,715","194,120","121,400","361,925","242,025","157,770","101,490","1,861,345"
